,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,Train_MAPE,Test_MAPE,Overfitting
stacking_linear,8.868495799432822,8.974304845722415,7.062402831324955,7.150820866175975,0.7006832568016385,0.6964776899651388,684274227.419061,619739216.6244556,-0.10580904628959331
voting,9.123018192570582,9.214228695992652,7.285964546954433,7.3573031179993125,0.6832561701454325,0.6800316973570891,810201506.8768882,690235786.0573585,-0.09121050342207049
stacking_diverse,9.498264277198153,9.626528132045136,7.602868865049863,7.682291638921599,0.6566638127298052,0.6507564840477122,798137601.4675095,672855624.4472164,-0.128263854846983
elastic_net,14.74411169951554,15.077965819729892,11.716640708233912,11.958838725323753,0.17268993765406992,0.14320979667875544,1197162363.7029934,1014296600.2717025,-0.333854120214351
knn,15.402538369287246,15.548187739591652,12.107952532191039,12.242098493559809,0.09714983765044272,0.08893673659033596,1138022431.9490044,927937979.8449059,-0.1456493703044064
svr,15.920953617004432,15.992515908181186,12.654151808317563,12.725112829971563,0.03535118306038576,0.036120894615192745,1636951833.5194755,1267358420.433097,-0.07156229117675394
bagging,16.030201449544567,16.116505559875588,12.611987868998629,12.730159607510942,0.022067133899149716,0.021117086764660065,1346761771.0778427,1064485357.9356575,-0.08630411033102092
mlp,16.103686937355583,16.200260890930902,12.962162213200866,12.88877187039236,0.013080522874815426,0.010916401630403527,709891058.7724272,529286021.41705024,-0.0965739535753194
random_forest,16.177726094573206,16.260838388465995,12.70068105788623,12.802780373255944,0.0039846352776017335,0.003505628219806378,1301462153.1670651,1071225850.3962591,-0.08311229389278907
ridge,15.942759261074759,16.30963092231635,12.561202464096594,12.849928261986332,0.03270697039738968,-0.002483538071617497,1180371758.0317442,992806469.681107,-0.36687166124159276
lasso,16.109470036766414,16.405843808616236,12.736776333212674,12.986321866715846,0.012371557494501362,-0.014346016975188114,1215814995.672475,1031406031.5343701,-0.2963737718498223
ada_boost,16.659372368614466,16.725801708943766,13.104635403233408,13.192688864121482,-0.05620532573188197,-0.054296756908243315,1328680225.8299823,1060561643.2711674,-0.06642934032930015
gradient_boosting,17.64134259595494,17.726729551017293,13.875818622332414,13.981783726198765,-0.18438895831574786,-0.18425771022692605,1440794774.8048537,1187125671.491343,-0.08538695506235428
decision_tree,20.353855926707322,20.524212806002897,16.15713069162134,16.363767974541556,-0.5766107155042839,-0.5875302196586927,1253484741.1837041,1079620214.5549207,-0.17035687929557497
linear_regression,26.839054206811028,26.880178887642145,22.512407804772838,22.63319883324319,-1.741356371606713,-1.7230354317431882,1840758935.9934072,1530748796.821623,-0.041124680831117644
